8,11,11,1,7,3,0,5,11,2,6,7,5,8,14,6,5,16,5,15,17,11,7,9,7,18,12,9,8,5,13,9,13,6,7
6,4,10,2,7,9,9,7,11,3,10,7,9,18,8,2,16,14,7,13,13,11,17,8,13,8,7,9,4,5,5,7,11,12,6
7,12,2,8,12,1,11,9,10,8,9,15,10,11,10,12,7,13,13,8,18,18,22,14,11,14,5,5,10,8,15,9,6,6,3
4,4,8,10,6,3,8,10,8,10,17,4,13,12,5,11,16,19,15,17,11,12,13,15,12,17,11,11,21,14,9,9,12,9,6
6,12,9,2,13,5,9,5,8,8,15,16,6,8,13,9,15,17,18,25,14,10,17,24,25,18,27,17,20,14,11,8,8,10,3
3,4,3,14,6,12,10,8,8,2,6,7,3,11,14,13,15,9,22,18,33,27,24,32,15,17,23,19,8,11,10,8,11,7,5
9,7,9,11,11,7,8,10,9,5,15,10,20,12,14,14,28,14,12,27,16,18,28,29,17,18,23,19,22,15,10,12,8,17,10
9,6,8,10,5,3,2,4,8,10,8,13,8,17,9,16,19,24,15,50,27,26,28,41,34,30,36,26,24,16,17,19,6,16,5
12,9,9,9,2,18,8,11,13,6,10,14,11,19,20,24,25,28,33,34,32,39,36,35,34,38,36,28,23,18,15,27,13,14,16
9,16,8,10,3,17,12,7,16,16,8,10,16,22,28,43,44,46,48,39,39,51,44,49,54,37,38,29,37,26,19,19,12,12,17
21,3,9,7,9,7,3,6,17,13,26,16,17,13,30,39,43,47,51,56,61,54,62,63,70,70,56,43,45,22,25,31,12,9,17
11,10,6,4,13,9,14,25,3,19,27,23,25,36,29,45,53,52,60,64,80,93,79,85,84,89,66,62,33,44,28,35,20,9,20
12,9,7,11,13,5,9,13,11,18,22,22,27,29,32,66,67,83,53,68,79,94,104,122,103,90,79,68,46,51,36,25,22,16,18
10,8,6,16,7,9,10,15,21,15,36,32,33,44,57,63,79,80,88,93,113,125,125,126,109,103,86,81,67,54,35,34,27,21,21
14,10,8,15,7,14,6,21,14,21,30,32,44,40,58,73,76,109,116,106,159,147,142,136,160,123,105,111,62,70,45,32,35,22,17
13,15,8,15,13,16,18,17,25,22,27,36,42,45,92,69,77,98,132,145,146,150,154,169,119,137,108,105,67,53,51,35,25,23,13
12,10,14,16,9,11,18,19,21,26,32,37,43,73,77,96,81,111,116,137,135,160,144,181,151,130,130,110,83,69,50,42,24,18,29
14,6,8,9,8,13,17,23,26,34,41,40,53,57,79,92,95,97,134,141,146,166,144,147,138,131,102,105,85,61,59,31,30,28,21
16,5,5,12,10,16,12,22,20,48,32,39,45,54,79,85,110,120,134,158,150,130,135,154,124,124,93,85,76,45,49,34,28,52,16
14,14,16,8,7,18,15,14,18,25,42,39,51,60,90,103,101,109,140,141,137,168,135,128,112,107,97,91,64,50,45,25,24,27,20
9,10,14,13,12,11,14,20,23,33,28,43,46,58,81,88,79,107,105,113,119,121,134,130,118,91,69,75,53,43,39,29,30,9,16
7,15,14,13,10,8,10,13,16,33,31,42,36,62,72,84,93,105,87,115,93,106,110,86,91,88,71,63,53,45,32,32,27,14,14
8,7,7,8,10,10,17,26,20,33,30,35,43,34,63,77,77,74,79,92,72,98,79,76,78,75,43,53,35,40,34,26,21,15,6
8,9,10,12,11,10,24,15,26,20,29,20,38,44,70,54,61,91,73,81,73,73,86,57,72,45,60,45,27,35,24,14,15,7,8
12,8,11,6,19,8,16,10,14,29,19,22,49,40,45,55,51,58,57,55,57,65,50,58,67,57,47,38,32,12,20,16,11,14,6
12,7,12,12,8,8,8,11,8,9,20,26,27,35,51,40,54,45,56,51,54,37,53,59,42,32,38,31,29,26,13,17,11,7,7
8,7,6,3,6,11,5,9,9,14,17,24,25,22,26,28,32,34,43,35,57,49,51,28,35,32,22,30,26,9,10,12,14,17,14
8,7,9,10,2,6,5,6,13,20,14,14,23,19,23,32,30,43,37,39,40,43,29,31,20,36,26,22,20,11,19,11,16,8,15
15,5,10,10,11,5,7,11,11,17,12,10,20,17,28,22,22,28,34,32,28,32,23,27,22,21,11,11,8,18,9,7,7,17,10
6,5,2,3,7,7,6,11,8,9,17,8,27,23,22,25,23,27,28,17,20,18,17,17,21,10,21,17,13,13,9,8,6,7,6
5,7,18,5,3,3,5,13,4,11,10,4,5,15,16,14,21,14,17,15,15,23,20,16,20,10,8,9,4,9,5,10,7,9,9
4,5,5,4,5,8,2,8,7,3,11,11,13,4,17,9,23,12,16,8,14,13,15,12,13,9,10,5,4,4,5,6,6,2,6
9,4,1,10,12,8,13,14,6,7,11,16,7,6,9,11,7,11,10,9,17,24,13,16,12,12,5,11,7,20,9,10,7,9,5
9,7,7,5,10,3,7,2,6,8,5,5,10,14,13,12,8,2,8,9,15,13,7,9,14,11,10,11,6,14,5,8,7,8,7
7,9,4,6,1,6,6,6,8,1,6,10,10,7,6,11,11,14,6,9,5,9,9,22,9,4,6,4,5,6,14,1,5,8,6
